packet_id,t_arrival_s,src,dst,hops,pkt_bytes,queue_ms,tx_ms,prop_ms,total_ms
39,0.1341438213488551,17,36,4,1289,0.0,0.13749333333333333,26.506069961838705,26.643563295172036
40,0.13947863104898264,14,20,2,1322,0.0,0.07050666666666666,6.847515816043284,6.918022482709951
41,0.14504208699396628,3,14,1,1210,0.0,0.032266666666666666,11.962952337340864,11.99521900400753
42,0.14937841870582705,2,20,3,1287,0.0,0.10296,13.435168393817529,13.538128393817527
43,0.1496705320977488,25,17,3,1145,0.0,0.0916,11.734090618476126,11.825690618476125
44,0.15420680210463983,4,13,5,1142,0.0,0.15226666666666666,28.70295885475196,28.855225521418625
45,0.15962415405610053,37,20,6,1001,0.0,0.16016000000000002,26.508034369346447,26.668194369346445
46,0.16411231266193024,13,32,4,1268,0.0,0.1352533333333333,27.44058231792849,27.575835651261826
47,0.16523250914287593,25,30,1,1100,0.0,0.029333333333333333,4.369084684549503,4.398418017882837
48,0.16651625390702007,9,16,2,1326,0.0,0.07072,21.829754379167095,21.900474379167097
49,0.16717919753622645,8,15,5,1381,0.0,0.18413333333333332,25.15042453489958,25.334557868232913
50,0.1685966515869923,36,35,2,1351,0.0,0.07205333333333333,19.96184559940897,20.0338989327423
51,0.16868121061263144,16,38,3,1110,0.0,0.0888,30.02607016163172,30.114870161631718
52,0.16935063619709428,27,38,2,1261,0.0,0.06725333333333333,31.65325176078325,31.720505094116586
53,0.1746108635752829,25,23,1,1301,0.0,0.03469333333333333,7.407561466623266,7.4422547999566
54,0.19059388866002228,14,8,2,1202,0.0,0.06410666666666667,13.599313595588162,13.663420262254828
55,0.1928480410295768,33,32,3,1203,0.0,0.09623999999999999,28.471830963610195,28.568070963610197
56,0.19398419983598011,5,3,1,1175,0.0,0.03133333333333333,11.08186866124316,11.113201994576492
57,0.19557522485160905,7,9,1,1123,0.0,0.029946666666666667,18.509019917471342,18.53896658413801
58,0.1970205937433487,10,27,3,1229,0.0,0.09831999999999999,22.97906312930243,23.077383129302426
59,0.1975391281562431,39,4,2,1397,0.0,0.07450666666666667,16.339246837309553,16.41375350397622
60,0.20187242869572955,24,39,3,1087,0.0,0.08696000000000001,20.319128989373173,20.406088989373174
61,0.20737582410979932,30,34,3,1018,0.0,0.08144,10.051480328926315,10.132920328926316
62,0.21340706063237055,16,36,4,1022,0.0,0.10901333333333332,44.6889639976667,44.79797733100003
63,0.23464659181540967,0,7,3,1233,0.0,0.09863999999999999,9.769548234926447,9.868188234926448
64,0.24307323275451673,35,17,2,1108,0.0,0.05909333333333333,17.509291736634008,17.56838506996734
